BnaC09g12820D	GSBRNA2T00000001001
BnaC09g12810D	GSBRNA2T00000003001
BnaC09g12800D	GSBRNA2T00000005001
BnaC09g12790D	GSBRNA2T00000007001
BnaC09g12780D	GSBRNA2T00000008001
BnaC09g12770D	GSBRNA2T00000009001
BnaC09g12760D	GSBRNA2T00000011001
BnaC09g12750D	GSBRNA2T00000012001
BnaC09g12740D	GSBRNA2T00000015001
BnaC09g12730D	GSBRNA2T00000016001
BnaC09g12720D	GSBRNA2T00000017001
BnaC09g12710D	GSBRNA2T00000018001
BnaC09g12700D	GSBRNA2T00000019001
BnaC09g12690D	GSBRNA2T00000020001
BnaC09g12680D	GSBRNA2T00000022001
BnaC09g12670D	GSBRNA2T00000026001
BnaC09g12660D	GSBRNA2T00000027001
BnaC09g12650D	GSBRNA2T00000028001
BnaC09g12640D	GSBRNA2T00000029001
BnaC09g12630D	GSBRNA2T00000030001
BnaC09g12620D	GSBRNA2T00000031001
BnaC09g12610D	GSBRNA2T00000036001
BnaC09g12600D	GSBRNA2T00000037001
BnaC09g12590D	GSBRNA2T00000038001
BnaC09g12580D	GSBRNA2T00000039001
BnaC09g12570D	GSBRNA2T00000041001
BnaC09g12560D	GSBRNA2T00000042001
BnaC09g12550D	GSBRNA2T00000045001
BnaC09g12540D	GSBRNA2T00000046001
BnaC09g12530D	GSBRNA2T00000047001
BnaC09g12520D	GSBRNA2T00000049001
BnaC09g12510D	GSBRNA2T00000050001
BnaC09g12500D	GSBRNA2T00000054001
BnaC09g12490D	GSBRNA2T00000056001
BnaC09g12480D	GSBRNA2T00000058001
BnaC09g12470D	GSBRNA2T00000059001
BnaC09g12460D	GSBRNA2T00000060001
BnaC09g12450D	GSBRNA2T00000063001
BnaC09g12440D	GSBRNA2T00000064001
BnaC09g12430D	GSBRNA2T00000065001
BnaC09g12420D	GSBRNA2T00000066001
BnaC09g12410D	GSBRNA2T00000067001
BnaC09g12400D	GSBRNA2T00000068001
BnaC09g12390D	GSBRNA2T00000069001
BnaC09g12380D	GSBRNA2T00000070001
BnaC09g12370D	GSBRNA2T00000072001
BnaC09g12360D	GSBRNA2T00000073001
BnaC09g12350D	GSBRNA2T00000075001
BnaC09g12340D	GSBRNA2T00000078001
BnaC09g12330D	GSBRNA2T00000079001
BnaC09g12320D	GSBRNA2T00000080001
BnaC09g12310D	GSBRNA2T00000081001
BnaC09g12300D	GSBRNA2T00000082001
BnaC09g12290D	GSBRNA2T00000083001
