TAIR ID	UniProt Accession
AT1G01010	Q944A1; Q9MAN3; A0A178WAE4; Q0WV96
AT1G01020	A0A1P8AS22; F4HQG4; Q5MK24; A0A1P8ARY9; Q0WRA1
AT1G03987	-
AT1G01030	C3VMM4; Q9MAN1; A0A178W3T3; A0A1P8AT85
AT1G01040	Q9SP32; F4HQG6; Q9MAN0; Q9FDY6; A0A178WCE6
AT1G03993	-
AT1G01050	A0A178WLC4; Q93V56; Q9MAM9
AT1G03997	-
AT1G01060	F4HQH3; A0A178W696; B9DFD7; F4HQG9; O81713; A0A178W761; Q9MAM8; B9DFM4; Q6R0H1
AT1G01070	Q5XEZ0; Q9MAM7; F4HQH5; A0A178WFU3
AT1G04003	-
AT1G01080	F4HQH8; A0A1P8APK3; A0A178W030; Q8W592
AT1G01090	A0A178W8A7; O24457; Q9MAM6
AT1G01100	A8MQK8; Q9MAM5; Q8LCW9; A0A178WHE0
AT1G01110	Q9MAM4; A0A178WBA3; B3H705
AT1G01120	Q56YX9; Q9MAM3; Q9ZTK3; A0A178W124
AT1G01130	F4HQI8
AT1G01140	Q9C5P5; Q94F03; A0A178W7T6; Q3EDL5; Q9MAM1; Q9C5S4
AT1G01150	F4HQJ2; A0A1P8AUQ9; A0A1P8AUM7
AT1G01160	A0A178W6L5; F4HQJ3; Q9MAL9
AT1G04007	-
AT1G01170	A0A178WGM0; Q2HIQ2
AT1G04013	-
AT1G01180	A0A178W7N2; F4HS78
AT1G01190	F4HS79; A0A178WIC4; A0A1P8AVN2
AT1G01200	Q9LNK1; A0A178W3F7
AT1G01210	Q9LNK0; A0A178W0Q7
AT1G04017	-
AT1G01220	A0A1P8APH1; A0A178W6Y3; Q9LNJ9; A0A1P8APH6; A0A1P8API3
AT1G04023	-
AT1G01225	Q29PY0
AT1G01230	Q9C5I0; A0A178WFK4
AT1G01240	Q9LNJ7
AT1G01250	Q1ECI2; Q8LCM8; Q9LNJ6
AT1G01260	Q9LNJ5; A0A178WJW5; Q8S3F5
AT1G01280	Q9LNJ4; A0A178WMS1
AT1G01290	Q39056; Q1ECR4
AT1G01300	Q9LNJ3; Q8L9B9
AT1G01305	A0A178WAA9; Q1G401
AT1G01310	Q6ID87
AT1G01320	F4HS98; A0A1P8AR50; F4HS99
AT1G01335	-
AT1G01340	Q9LNJ0; Q9LKL3; A0A178W8D7
AT1G01350	Q8GX84; C0SUR6; Q9LNI9
AT1G01355	A0A1P8AVW5; A0A1P8AVR8; F4HSA3
AT1G01360	Q9LNI7; A0A178W4H4; Q84MC7; Q8LA91
AT1G01370	Q8RVQ9; Q9LNI6; Q8LCW8; A0A178WB57
AT1G01380	Q9LNI5; A0A1P8AQ13; A0A178WDR4; A0A1P8AQ06
AT1G01390	Q8W4C2; A0A1P8AV09; Q9LNI4; W8PVF7; A0A178W8S9
AT1G01400	Q9LNI3
AT1G01410	Q9LNI2
AT1G01420	W8PW48; A0A1P8AUD8; Q9LNI1; Q681W3
AT1G01430	Q84JH9; Q9LNI0
AT1G01440	Q6NQ63; A0A178W949
AT1G01448	-
AT1G01450	F4HSB4
AT1G01453	B3H6G3; A0A178WIR0; F4HSB6
AT1G01460	Q9LMN1; Q08AA6; O23705
AT1G01470	Q42314; A0A178W160; O03983
AT1G01480	A0A178WMN2; Q941E7; Q06402
AT1G01490	Q7DLT7; Q9LMN0; O03982; A0A1P8AS52; A0A1P8AS50
AT1G01500	Q8GUH2; A0A178WLZ0; Q8L9M0; O03988; Q9LMM9; O23703
AT1G01510	A0A178WFD8; Q7DLS3; Q9LMM9; O23702; Q948X7; O03984; Q93YQ6
AT1G01520	O23701; A0A1P8AMC4; A0A1P8AMB7; A0A178W835; A0A1P8AM82; A0A178W672; Q6R0H0; Q9LMM9
AT1G01530	O23700; Q9LMM8; A0ME51; A0A178WE04
AT1G01540	A0A178WIU5; Q9LMM7; Q3EDL4; O23699; Q94KD9; F4HSC9
AT1G01550	A0A178WGC1; Q9LMM6
AT1G01560	A0A178W1B0; B3H762; Q9LMM5; A0A1P8ASZ4
AT1G01570	F4HU33; A0A178WJ90; Q9LMM4
AT1G01580	A0A178WMG4; P92949; Q9LMM3; A0A1P8AVL6
AT1G01590	Q9LMM2; A0A178W4T7; P92950
AT1G01600	A0A178WHA9; Q9LMM1; Q8GYT6
AT1G01610	Q8W4N0; A0A178W9F8; Q9LMM0
AT1G01620	Q08733; A8MSF6; Q8W4E5; A0A178WIA6
AT1G01630	Q9LQ96; A0A178W2W3
AT1G01640	A0A178WIE3; Q9LQ95; Q7XA69
AT1G01650	A0A178WMP2; F4HU44; Q9LQ94; Q0WMJ8
AT1G01660	A0A1P8AQW1; P0C6E7; Q9LQ93
AT1G01670	Q8GXQ7; Q9LQ93; A0A1P8ASI2
AT1G01680	A0A178WFK8; Q9LQ92
AT1G01690	A0A1P8AUM4; A0A178WE16; A0A178WD31; A0A1P8AUL3; F4HU48
AT1G01695	B3H5G8; A0A178WAP9
AT1G04033	-
AT1G04037	-
AT1G01700	A0A1P8ASC5; Q9LQ89; A0A1P8ASA3; A0A1P8ASE8
AT1G01710	F4HU51; A0A178W7C0
AT1G01715	-
AT1G04043	-
AT1G01720	Q2HIR8; Q39013; Q9LQ85; A0A178W8W1
AT1G01725	A0A178WIF8; Q9LQ84
AT1G04047	-
AT1G01730	Q9LQ83
AT1G01740	A0A178WBE7; A0A1P8AT60; A0A178WDH9; A0A1P8AT62; F4HU55
AT1G01750	A0A1P8AMT9; Q9LQ81; A0A178WJX4
AT1G04053	-
AT1G01760	A0A1P8ASW1; A0A178W929; A0A1P8ASQ9; A0A178W782; F4HU58
AT1G04057	-
AT1G01770	Q8GZ85
AT1G01780	Q9LQ78; Q1ECF5; A0A178WGL7
AT1G01790	Q9LQ77; Q9ZTZ7; Q9LQ76
AT1G04063	-
AT1G01800	Q94K30; A8MQD9; A0A178WIX4
AT1G01810	Q9LQ74; A0A178WCB2
AT1G01820	Q5QT12; A0A178W4K0; Q9LQ73
AT1G01830	Q93YW3; A0A178WI35
AT1G04067	-
AT1G01840	Q9LQ71; A0A178W6N6
AT1G01860	A0A1P8ATE0; A0A1P8ATD9; Q9LQ70; A0A178WQU2; A0A178WMV6; A0A178WPV1; A0A1P8ATE1; A0A1P8ATD7; O65090; Q9LPD3
AT1G04073	-
AT1G01880	F4HU72; A0A178WE55; F4HU71; Q9LPD2; A0A1P8APG4
AT1G01900	Q9LPD1; A0A178W900; Q84WS0
AT1G04077	-
AT1G01910	A0A178WPT5; F4HU77; B3H5S5; Q949M9
AT1G04083	-
AT1G01920	A0A178W1A9; A0A1P8ATT8; Q501D3; A0A1P8ATV6; A0A1P8ATS4; F4HU79
AT1G01930	Q9LPC8; A0A178WFV1
AT1G01940	Q9LPC7
AT1G01950	F4HU85; A0A1P8AMI8; A0A178W9D2; Q9LPC6; A9CP40; F4HU83; Q0WMY6
AT1G01960	A0A178WBT3; Q9LPC5
AT1G01970	A0A178W583; Q9LPC4
AT1G01980	A0A178WKZ1; Q56ZK2; Q9LPC3
AT1G01990	A0A178W8P6; Q9LPC2
AT1G02000	Q9LPC1; Q8LFM5; Q0WRB6; A0A178WEE4
AT1G02010	O23672; Q9LPC0; A0A178WGV3; A0A1P8AMM4; A0A1P8AMM1; A0A1P8AMM7; Q9C5P7; F4HVU5
AT1G02020	Q3E6Y8; A0A178WM28; A0A1P8ATD0; O23673
AT1G02030	A0A178W5D7; Q39092
AT1G02040	Q3EDL3
AT1G02050	Q4JNW9; A0A178WKY7; O23674
AT1G02060	A0A178W3L0; O81908
AT1G02065	Q3EDL2; A0A178WH70; Q8GXL3; Q9S849
AT1G02067	-
AT1G02070	A0A178WCR5; Q0IGM8
AT1G02080	F4HVV7; A0A1P8ARB7; F4HVV6
AT1G02090	F4HVW0; A0A178W722; A0A178W6J6; Q94JU3; O81247
AT1G02100	Q8VY08; F4HVW3
AT1G02110	A0A178WFK6; Q56W45
AT1G02120	A0A178W223; A0A1P8AQ01; F4HVW5; A0A1P8AQ22
AT1G02130	P28188; Q940Z7; A0A178WIV4
AT1G04087	-
AT1G02140	A0A023T774; A0A178WA48; O23676
AT1G02145	A0A178W3M6; F4HVX0; Q0WT37; Q1G329; A8MR93; Q1G330; A0A0K1SB46; F4HVW9
AT1G02150	O23677; Q8LPS6; A0A178WGE7
AT1G02160	A8MQS6; Q8VZ44
AT1G02170	O81911; Q7XJE6; A0A178W8H4
AT1G02180	A0A178WKE6; Q8GYG8
AT1G02190	F4HVX7; F4HVX8; O23678; A0A178W820
AT1G02205	A0A1P8AN63; O22681; F4HVY0; Q0WV76; A0A178WGN0; F4HVX9; O23679; Q39045; A0A1P8AN85
AT1G04093	-
AT1G02210	Q3E7L2
AT1G02220	Q5PP28; O81912; A0A178WBA1
AT1G02230	O81913; C0SUS1; A0A178WK80
AT1G02250	A0A178W508; O81914; C0SUS2
AT1G02260	O81915; A0A178WE00
AT1G02270	A0A1P8ATK3; A0A178VZU8; Q940T7; O81916
AT1G02280	Q94B42; A0A178W9C6; O23680; Q9GDD3
AT1G02290	A0A178WCE2; Q6GKW8
AT1G02300	O23681; F4HVZ1
AT1G02305	B9DHV8; A0A178WH58; Q93VC9
AT1G04097	-
AT1G02310	A0A178WL81; A0A1P8AQX8; Q9FZ29
AT1G04103	-
AT1G02320	Q3EDK7
AT1G02330	F4HVZ5; A0A178WFW1
AT1G02335	Q67YR3; Q9FZ27
AT1G02340	Q8GZ25; Q9FE22; A0A1P8AWQ4; Q9FZ26
AT1G02350	F4HVZ8
AT1G02360	A0A178WGG8; A0A1P8AWZ7; A0A1P8AX35; Q9FZ25
AT1G02370	Q9FZ24; Q8VYY9; A0A178W339
AT1G02380	Q9FZ23
AT1G02390	Q9FZ22; A0A178W6W8
AT1G02400	A0A1P8AWJ2; Q9FZ21; Q56Y91
AT1G02405	A0A178W9K1; Q6NMD9
AT1G02410	Q9FZ20; Q8GWR0; A0A178WLX7
AT1G02420	A0A178WHC0; Q9FZ19
AT1G04117	-
AT1G02430	F4HXI4; A0A1P8ARH7
AT1G04123	-
AT1G02440	F4HXI5; A0A1P8AVU2
AT1G02450	Q9FNZ5; Q9FWX4; A0A178WC43
AT1G02460	Q9FWX5; A0A178W3E5
AT1G02470	A8MSF0; F4HXI8; A0A178WIY8
AT1G02475	Q94K52
AT1G02490	Q3EDK6
AT1G02500	A0A178WES1; P23686; Q941A8; Q9FEE0
AT1G02510	Q6X308; A0A178W803; Q9FWX6
AT1G02520	Q9FWX7; A0A178WK73
AT1G02530	A0A178WBY9; A0A1P8ANT3; Q9FWX8
AT1G02540	Q9FWX9; A0A178W7A4
AT1G02550	Q4PT42; A0A178WD91
AT1G02560	Q9S834; A0A178WMF0
AT1G02570	A0A178W721; Q1PFZ3
AT1G02575	F4HXK1
AT1G02580	O65312; A0A1P8AVN9
AT1G04127	-
AT1G02590	F4HXK3
AT1G02610	A0A178W269; F4HXK4; A0A1P8AS78; A0A1P8AS75
AT1G02620	Q3E6Q3
AT1G04133	-
AT1G04137	-
